88.9466495986687+47.0931530499024j,-37.7443134615102+14.122493500071j,-27.9548444131705-12.6720511271407j,90.199516971741+4.10964238510715j,78.2309839344786-90.4078887253466j,164.173676669233-132.992359156973j,-23.0007364339441+27.7436030981049j,4.97066965510031-33.0309345264678j,88.7624169641688-92.7938499493162j,83.477129943422-26.9938016878767j
45.7037834148807+26.2631600141268j,92.9955891432888-63.2891269227855j,10.557530518214-139.113909848183j,11.5744581614845-37.3856986936476j,-133.127489205125+32.0400195077902j,-122.030017419476+69.0435258596525j,10.3929063007416+8.68711054556053j,42.6803451955835+52.3492688898273j,45.9881251069287+137.594017201242j,-51.2777594141917-18.3684843879828j
7.51722664164225+29.7252244642806j,-58.5083903799399+35.2433448731406j,-14.1448964730992+62.9865601117451j,125.940134855385+5.73195608176173j,96.8375151655299-134.879319826348j,210.390701837435-176.970394196912j,-55.8711580552133+26.9533681461841j,-35.4796451606527-63.0039921912228j,23.8507874338681-139.1930358945j,129.032302013257-135.715805091738j
84.0906911709748+15.3460985817454j,90.4198937106725-64.3723807339363j,-11.9984869805927-171.545231704608j,11.0201283139335-24.1291244143106j,-114.151776791193+59.0340098075872j,-132.818706097702+98.7504910426718j,33.9315607590861+9.09160637886086j,61.2335482214565+47.1047616479399j,89.0339861140335+147.210494752431j,-50.986619091606+38.4782701393876j
26.9831543072617+53.0247213369088j,-37.87947698437+12.2652267299608j,1.50146659921214+45.6989328869063j,88.0600294391237-16.6424889168854j,44.536555244542-132.515453256854j,181.078251396654-184.534734091216j,-63.6642330992784+26.1989532993186j,-22.5741051243588-29.3137103915006j,15.8182467401073-119.019964309424j,91.4803428538493-123.601172628125j
11.0391015974552-6.04093958852289j,58.8091513556673-22.1078165796649j,-13.0602737494835-110.175009953264j,78.4102247555686-7.85034045353784j,-46.3937155210928+26.0241180526873j,-74.2526338141593+77.1182875600857j,25.6169936600921+13.2874322043062j,15.6961230985179-2.4361420583702j,58.8693791647637+105.992166770338j,-1.50913632169278-45.3860555995451j
137.928648619151+54.8827679715342j,-5.84429917914502-41.0973916972038j,-20.9127653377317-41.9123992833396j,6.49282513929362-22.8336527560222j,-22.9133502628182-74.8325577919209j,105.09862782152-139.329959110002j,-40.5156816541672+18.1630146999614j,46.6582016066743+19.1074539383996j,77.0939864070477-75.8482486534095j,49.6900108432496+10.8314319304007j
-108.284174231503+15.7756977523507j,32.8856825026672+27.9189254866673j,26.5911148153028-19.202970287316j,152.822667868724-18.2758899848858j,1.90658307311952-39.7036612817197j,-0.78040763451137+17.2987057876127j,-5.44102848887015+25.8568790280561j,-60.7712393735139-36.5711877736151j,-16.253670780887+72.0698677872421j,12.3232528080983-198.426829607068j
237.077419928768+9.93630001438927j,8.88084457910661-75.4801778579604j,-70.2635850159744-112.703996342645j,-43.1058016611663-4.04062463484015j,-45.5211977959975-19.10820754035j,45.4446581264771-83.8636548065172j,-7.74215062434254+4.2796240834604j,110.122365782657+30.5820338174296j,144.306474687253-63.0200825925721j,64.7328266790548+140.551055357601j
-161.134729605379+68.1653181236639j,27.6952946360333+35.2753300438332j,66.2123451722882+15.8001594567403j,164.521948346991-40.5641151302159j,-3.89131413080256-66.5225668246844j,34.2009039768265-18.4941912457458j,-31.5950790331989+38.1342856885183j,-93.632133477892-26.6741383979333j,-54.2512062715831+77.5557399738008j,-26.6932203908926-272.214441667625j
