-48.8238671984769+28.2355507666662j,-27.0234561782067-28.4818892835082j,8.26462506214778-135.212252382172j,-48.3513798962344-13.7122457853876j,-25.8893128654796-96.4162664050763j,-35.2643488936169+114.216140227512j,16.167197428159+72.3394756268491j,57.8482400706088-13.7703523357474j,-88.1528549089067+86.2261699354081j,83.1280783501054-48.5753103121172j
115.378988340149-19.4960714894356j,-28.070736272584+67.7361558945506j,-18.1290943675486+10.8124098289644j,-46.2914219832835-17.5922038789476j,-27.2073799355116-93.5958360378113j,-55.5840271365936+45.8648554968527j,-18.7985951991274-106.993563938658j,-84.7473657461036+28.3354906922621j,-3.70375761026095+71.3754118784582j,-64.7378508146937-67.2130324409739j
-69.5800412023883+58.783528099793j,-56.1144445238466-45.881057004066j,-29.9443835430081-192.28629327164j,-39.5334721350237+33.6281152243133j,43.1513595905836-120.537537112415j,8.08068763256624+94.6576920904637j,33.2402433728176+154.650150970565j,82.9876370190474-39.3796899682562j,-102.69387658151+75.8442141733927j,130.960409881975-74.6861619820525j
101.740290471647-35.0606407451939j,-9.50771639365304+74.5000951125237j,14.3195156598656+13.9514205232974j,-55.7250251501136-32.1695233860089j,-54.9684099632073-79.9326340327643j,-72.1711381580924+58.6580884245947j,-48.2080603295892-121.214763813655j,-95.6557771725308+42.7196153241028j,-2.35714585244331+67.0315875274318j,-75.4600603344273-44.8690333296604j
-26.9729524830427+49.8304691528787j,-58.4405455348612-40.9184044968403j,-45.3785256446858-142.164449775733j,-38.2167945814503+15.868550147199j,20.8222690413436-111.110747037483j,2.30766904690068+97.9518661401914j,56.9343483216458+95.9598116656256j,79.3179162942227-38.3383227251025j,-82.453403466153+94.5458570219657j,99.9972971526058-83.8530171521986j
44.3929876916258-2.1145596746235j,-23.2668921394924+64.1325856363468j,-3.45532230713629-72.7078499642046j,-42.3200067669919+14.557865022271j,0.838937582022737-118.516832193733j,-45.0736723291053+37.9336831178643j,-48.8146395363205-4.14753268741032j,-80.5639989863011+26.414741353741j,-37.6674290012831+43.9944087473216j,-16.9970458698272-57.5910713417549j
29.7051885319735-1.70836800250238j,-31.3307995091503-27.9699812873745j,0.742232037686048-42.9223826828533j,-67.9219667510068-43.5536644907184j,-56.4525486496288-45.5006419023111j,-30.8787624863827+135.826476516428j,27.1983539010568-49.8474464260438j,58.0809848802074-10.3499980871331j,-33.8528801019365+117.676771919886j,26.9608578157873-50.7225723052461j
3.45829683810577+52.9647122770432j,-55.3544504071372+55.3735241823426j,-72.560942648105-156.611393584179j,-0.758842563375117+73.3752679665938j,71.3538942919191-198.65880625564j,-12.2342866996089-7.39317705795045j,7.62561079755206+133.916435441072j,-58.7851238960444-5.49683457697511j,-84.3815575401108+29.7545805416849j,47.0953982798277-104.974191826217j
47.4036495342052-45.601455875418j,-2.45410685696547-23.4143460087405j,68.1405200104659+5.7240093512532j,-111.463443545066-84.0650741733132j,-108.468864845815+31.0054446160064j,-49.2377200950576+179.008242668165j,-39.2697340835632-147.146518681041j,40.0003692375263+16.7449590735482j,4.91967154115938+123.705689178182j,-16.5195213088212-4.2587569833859j
10.2041506315316+69.7564601695348j,-71.4855471298494+56.8799087897363j,-121.524681388625-159.264367454358j,32.6281104498887+89.3919908366109j,87.9311186106306-250.612093596358j,-7.88627472031015-34.5561066937429j,62.1180469554721+169.641349045437j,-46.2409268483214-18.9657790551029j,-101.415282449507+33.7455621927324j,57.348611069699-136.335368800584j
