-130.634820997512-164.777736542318j,-161.496940617639+34.9463541688543j,89.1744292718692+0.232719299538874j,-110.280410345677-146.130144257581j,-42.6333925057821+117.038062059438j,-90.9047425484328+69.5524656400206j,60.6814685290222+122.136357726379j,-53.9301874050184+77.4286944137611j,4.80506848652256+190.507469885826j,-47.2110608719234-154.552134223631j
122.802367793682-22.5566473939411j,3.6535213615226+34.8367647943924j,-86.3878369740519-54.0443923457289j,57.5931467847352+110.624230353997j,223.664563823781-21.0044966861518j,24.9727833845267-25.3382766152776j,54.2622644887454-33.9892673773735j,39.82001883833-114.204280600924j,-98.625202739057-72.1517285665705j,36.7786704647937+63.7405891639274j
-167.91219278465-144.244080867076j,-193.773818818172+61.6540553123436j,132.974090032875+18.1873760665914j,-185.954478858324-157.754544119196j,-60.5789705022454+135.852149512454j,-100.419489164575+85.132082356817j,50.7679056687661+145.3202412559j,-28.9583334694266+141.347116911718j,23.1727221640953+206.228632923056j,-78.163408965664-207.858748529851j
120.121252165555-57.909437488771j,-25.5562369995274+27.9283369182664j,-88.9687657247493-42.7845759831533j,62.2414023748843+79.6509138519163j,178.026124719823-20.2217851309473j,15.3942528345693-15.6802664981887j,46.0414537125733-37.1015299849481j,2.23379139521361-113.088507208324j,-111.622628000513-66.423185517883j,59.2811483901086+38.1402871710245j
-130.834319854199-104.860322548358j,-111.518020275553+42.5259253885148j,87.8066813257313-13.8262800491559j,-116.008164239643-100.817329979804j,38.3201076052788+101.075043444021j,-76.0416999915478+52.4890905189492j,75.6462534309736+120.359226638531j,2.21780269099809+75.6755600206043j,31.5540910505323+182.112932312815j,-77.846629920393-109.786503392392j
52.5194476273907-88.1714404019602j,-133.778018074777+82.1765917193077j,-4.4391164718185-5.07300570741633j,-68.6601969361164+24.8587948359499j,55.4502683859154+42.4197657935571j,-13.1135948819537+35.9742084443207j,16.3314695433977+10.0614930150455j,-5.83245158073705-0.344469469159178j,-109.352081628781-26.2389085803102j,21.1419459023896-105.587532104629j
-56.1163778348593-90.1223753216352j,-4.28831432701357-31.8650891038673j,-18.9427207228474-45.0175767899287j,41.5367290768318-65.0802015207728j,157.350132619431+17.8847697030026j,-49.7905369710978-3.89598201925789j,104.460755821579+56.6252622354805j,-19.6847981695251-53.7145576108841j,24.1490679956254+136.68775934525j,-8.94623217172488+43.5267627851451j
-14.9472219083554-85.1529411604511j,-209.917380635534+164.010336604945j,98.3246989101934+10.3799817369626j,-213.207381361829+21.2098050556463j,-29.9180557357573+119.769611185928j,-29.7469742359523+85.2238895935135j,-1.62188850902788+73.1263323811755j,41.4440003224306+111.770608545532j,-96.5360400240888+18.0129204265605j,-66.8388318533314-229.978110157209j
-19.2323275520683-103.415294918801j,26.7963196262399-91.4949085090864j,-94.032827472441-45.139881345916j,132.755218650978-85.9249705959743j,196.61375270457-34.8897874673337j,-41.9521648363849-30.6345165421526j,112.48276886843+5.30645287471807j,-76.1572803439205-119.808419372168j,16.3597927380097+103.665030585865j,68.38466235861+112.174682705763j
-17.4853460038386-70.9698627064084j,-189.936557858098+186.537348278896j,126.393748485291+0.563182028333959j,-227.363744538698+54.7276959410962j,-18.2179911540337+123.492367394734j,-29.5998432803518+83.8162059131505j,1.19086506954442+97.5508493941831j,85.8623122506976+116.936915585811j,-95.5683142323306+38.2803519226844j,-111.379659507052-230.871260843883j
-56.2191704305872-105.39793066123j,-30.2857702988683-59.4673949323725j,-70.0599041167488-36.9387996895186j,63.3358650368484-108.099188616907j,148.973932883431+13.0956006872034j,-42.9184041033835+2.08387212511647j,107.742245351396+9.38102546234774j,-88.1880034076483-65.8415283989405j,31.0000764588625+98.575797001797j,56.7566590568143+54.1608622428483j
42.4476321357244-87.7411755545654j,-112.736441187669+108.631554845121j,56.3564349563901+3.09886220620194j,-92.6693266450383+51.6987810370602j,48.3887208605537+25.4738176554502j,-30.8550709009494+28.989997200913j,4.43639746138137+63.9648123051935j,54.7028849881166+21.8792453608527j,-122.21153241831+34.4372630345464j,-43.7297050672646-135.790457730355j
-127.523244742793-66.9376054934742j,-101.716397077737+53.2308287299547j,26.0435349112521-56.6365829624089j,-104.548174684415-68.9530446411918j,88.3211378932079+134.696957667996j,-34.6203657592485+68.6396190897722j,113.91511059562+58.9977946359921j,-15.8077038036433+42.716015482346j,70.7911098364702+107.829125664456j,-58.0875614790101-46.5625460942036j
100.203828295152-139.873780500896j,-61.7653873340555-5.37582490316497j,-42.1092946094664+36.9513232315517j,65.9670195797079-13.5069764907169j,89.7985916363404-94.8168753761937j,-43.2294000426241-31.6903953253178j,-8.93912202986669+8.93493699812928j,-42.3153292293474-70.7010398988828j,-163.67735509632+28.3237416763419j,85.7088616384683-56.3899298547335j
-162.304340410266-11.9837237444714j,-120.717246677841+143.928785247901j,101.159842749794-96.1858422735524j,-218.464241364488+6.87438011448068j,75.8762998036902+216.988205734004j,-20.4926109368221+111.959318730806j,133.987345046274+100.815879960173j,80.1684868636389+97.3123932754156j,109.508510879896+108.68539309047j,-170.702417649414-85.6167332991974j
98.8512295908183-181.029029598194j,-68.0920063646074-41.8405256215239j,-77.8124254373133+67.0757437963844j,110.700173444821-70.4242231423717j,80.4849069382485-120.843859983111j,-50.5606175107449-46.5740335226567j,-25.5961881868748-11.9286074720827j,-108.552466164152-77.9405170561554j,-186.576347183411+36.7186899758459j,143.823479642925-59.5041246412368j
-132.868324557239+4.6651088209607j,-98.0403742625597+119.920955779885j,90.1125124996449-103.720069071737j,-191.859921813429+24.3517002161515j,97.8294753467221+172.184236041397j,-23.8108178414852+99.0283633043843j,142.138103850543+91.8393491358174j,95.0420680721902+62.9773543574945j,115.400966210586+94.5980709381373j,-157.767797785358-50.176375698296j
46.0953674090927-165.561929244423j,-87.3074961144098+43.9523228093225j,-27.5668578522479+42.0615172807338j,27.0937167503804-31.0034753619837j,63.6188552901287-18.9636560722871j,-31.4179780889568-9.11108895533564j,-16.0293727590165+20.7513062239019j,-63.2103885627328-19.2706609289264j,-169.635414657286+55.4217037575075j,53.5752075912679-105.736361899511j
-77.7808042756575-37.7846227681665j,-92.632414790325-1.48983362009792j,15.2745795259929-47.0858021606313j,-81.8246863398048-65.9260573763196j,101.211289505786+31.5916172943991j,-54.9340446488893+50.1481800283659j,116.054355351606+40.388895232559j,-1.81467260010595+3.022546852899j,83.9484234204494+77.3643551624062j,-12.9524936625529-13.3066328403912j
-2.10948570910723-106.164964349667j,-69.1897607465606+176.072217511942j,50.0625124051297-36.9815258438141j,-77.2468858216411+94.3071796906135j,79.9078258863798+121.773157348535j,7.28143755770791+40.4564742795631j,25.5901472059528+74.7616451298568j,61.9718705679149+21.6674233582241j,-126.893973534517+70.5608858741486j,-115.986163515495-116.871756638758j
-52.4222505864261-94.6356450393008j,-126.636140316454-105.818565485491j,-47.5860258624982+35.1475727886222j,-12.1237269908415-190.466424158507j,74.3462063361177-81.3634289555972j,-88.9056854232736+13.5431617082902j,70.8178406784765-7.7273634534545j,-122.410449917347-7.19216828505136j,44.4528789328752+67.0674215153904j,136.283936686362-29.7213837151405j
